CISA Identifies SUPERNOVA Malware During Incident Response,https://www.cisa.gov/news-events/analysis-reports/ar21-112a
Eviction Guidance for Networks Affected by the SolarWinds and Active Directory/M365 Compromise ,https://www.cisa.gov/news-events/analysis-reports/ar21-134a
Federal Agency Compromised by Malicious Cyber Actor,https://www.cisa.gov/news-events/analysis-reports/ar20-268a
FiveHands Ransomware,https://www.cisa.gov/news-events/analysis-reports/ar21-126a
JexBoss – JBoss Verify and EXploitation Tool,https://www.cisa.gov/news-events/analysis-reports/ar18-312a
MAR 10339794-1.v1 – Cobalt Strike Beacon,https://www.cisa.gov/news-events/analysis-reports/ar21-148a
MAR-10135536-10 – North Korean Trojan: BADCALL ,https://www.cisa.gov/news-events/analysis-reports/ar19-252a
MAR-10135536-12 – North Korean Trojan: TYPEFRAME,https://www.cisa.gov/news-events/analysis-reports/ar18-165a
MAR-10135536-17 – North Korean Trojan: KEYMARBLE,https://www.cisa.gov/news-events/analysis-reports/ar18-221a
MAR-10135536-21 – North Korean Proxy Malware: ELECTRICFISH,https://www.cisa.gov/news-events/analysis-reports/ar19-252b
MAR-10135536-21 – North Korean Tunneling Tool: ELECTRICFISH,https://www.cisa.gov/news-events/analysis-reports/ar19-129a
MAR-10135536-3 - HIDDEN COBRA RAT/Worm,https://www.cisa.gov/news-events/analysis-reports/ar18-149a
MAR-10135536-8 – North Korean Trojan: HOPLIGHT,https://www.cisa.gov/news-events/analysis-reports/ar19-100a
MAR-10135536-8 – North Korean Trojan: HOPLIGHT,https://www.cisa.gov/news-events/analysis-reports/ar19-304a
MAR-10135536-8.v4 – North Korean Trojan: HOPLIGHT,https://www.cisa.gov/news-events/analysis-reports/ar20-045g
MAR-10158513.r1.v1 – SamSam3,https://www.cisa.gov/news-events/analysis-reports/ar18-337c
MAR-10160323-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133d
MAR-10164494.r1.v1 – SamSam4,https://www.cisa.gov/news-events/analysis-reports/ar18-337d
MAR-10166283.r1.v1 – SamSam2,https://www.cisa.gov/news-events/analysis-reports/ar18-337b
MAR-10201537 – HIDDEN COBRA FASTCash-Related Malware,https://www.cisa.gov/news-events/analysis-reports/ar18-275a
MAR-10211350-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133e
MAR-10219351.r1.v2 – SamSam1,https://www.cisa.gov/news-events/analysis-reports/ar18-337a
MAR-10238137-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133f
MAR-10257062-1.v2 - North Korean Remote Access Tool: FASTCASH for Windows,https://www.cisa.gov/news-events/analysis-reports/ar20-239c
MAR-10265965-1.v1 – North Korean Trojan: BISTROMATH,https://www.cisa.gov/news-events/analysis-reports/ar20-045a
MAR-10265965-2.v1 – North Korean Trojan: SLICKSHOES,https://www.cisa.gov/news-events/analysis-reports/ar20-045b
MAR-10265965-3.v1 – North Korean Trojan: CROWDEDFLOUNDER,https://www.cisa.gov/news-events/analysis-reports/ar20-045c
MAR-10271944-1.v1 – North Korean Trojan: HOTCROISSANT,https://www.cisa.gov/news-events/analysis-reports/ar20-045d
MAR-10271944-2.v1 – North Korean Trojan: ARTFULPIE,https://www.cisa.gov/news-events/analysis-reports/ar20-045e
MAR-10271944-3.v1 – North Korean Trojan: BUFFETLINE,https://www.cisa.gov/news-events/analysis-reports/ar20-045f
MAR-10285677-2.v1,https://www.cisa.gov/news-events/analysis-reports/ar20-133g
MAR-10285677-3.v1,https://www.cisa.gov/news-events/analysis-reports/ar20-133h
MAR-10288834-1.v1 – North Korean Remote Access Tool: COPPERHEDGE,https://www.cisa.gov/news-events/analysis-reports/ar20-133a
MAR-10288834-2.v1 – North Korean Trojan: TAINTEDSCRIBE,https://www.cisa.gov/news-events/analysis-reports/ar20-133b
MAR-10288834-3.v1 – North Korean Trojan: PEBBLEDASH,https://www.cisa.gov/news-events/analysis-reports/ar20-133c
MAR-10292089-1.v2 – Chinese Remote Access Trojan: TAIDOOR,https://www.cisa.gov/news-events/analysis-reports/ar20-216a
MAR-10295134-1.v1  – North Korean Remote Access Trojan: BLINDINGCAN,https://www.cisa.gov/news-events/analysis-reports/ar20-232a
MAR-10296782-1.v1 – SOREFANG,https://www.cisa.gov/news-events/analysis-reports/ar20-198a
MAR-10296782-2.v1 –  WELLMESS,https://www.cisa.gov/news-events/analysis-reports/ar20-198b
MAR-10296782-3.v1 – WELLMAIL,https://www.cisa.gov/news-events/analysis-reports/ar20-198c
MAR-10297887-1.v2 – Iranian Web Shells,https://www.cisa.gov/news-events/analysis-reports/ar20-259a
MAR-10301706-1.v1 - North Korean Remote Access Tool: ECCENTRICBANDWAGON,https://www.cisa.gov/news-events/analysis-reports/ar20-239a
MAR-10301706-2.v1 - North Korean Remote Access Tool: VIVACIOUSGIFT,https://www.cisa.gov/news-events/analysis-reports/ar20-239b
MAR-10303705-1.v1 – Remote Access Trojan: SLOTHFULMEDIA,https://www.cisa.gov/news-events/analysis-reports/ar20-275a
MAR-10310246-1.v1 – ZEBROCY Backdoor,https://www.cisa.gov/news-events/analysis-reports/ar20-303b
MAR-10310246-2.v1 – PowerShell Script: ComRAT,https://www.cisa.gov/news-events/analysis-reports/ar20-303a
MAR-10318845-1.v1 - SUNBURST,https://www.cisa.gov/news-events/analysis-reports/ar21-039a
MAR-10319053-1.v2 - Supernova,https://www.cisa.gov/news-events/analysis-reports/ar21-027a
MAR-10320115-1.v1 - TEARDROP,https://www.cisa.gov/news-events/analysis-reports/ar21-039b
MAR-10322463-1.v1 - AppleJeus: Celas Trade Pro,https://www.cisa.gov/news-events/analysis-reports/ar21-048a
MAR-10322463-2.v1 - AppleJeus: JMT Trading ,https://www.cisa.gov/news-events/analysis-reports/ar21-048b
MAR-10322463-3.v1 - AppleJeus: Union Crypto ,https://www.cisa.gov/news-events/analysis-reports/ar21-048c
MAR-10322463-4.v1 - AppleJeus: Kupay Wallet ,https://www.cisa.gov/news-events/analysis-reports/ar21-048d
MAR-10322463-5.v1 - AppleJeus: CoinGoTrade ,https://www.cisa.gov/news-events/analysis-reports/ar21-048e
MAR-10322463-6.v1 - AppleJeus: Dorusio,https://www.cisa.gov/news-events/analysis-reports/ar21-048f
MAR-10322463-7.v1 - AppleJeus: Ants2Whale,https://www.cisa.gov/news-events/analysis-reports/ar21-048g
MAR-10324784-1.v1: FiveHands Ransomware,https://www.cisa.gov/news-events/analysis-reports/ar21-126b
MAR-10325064-1.v1 - Accellion FTA,https://www.cisa.gov/news-events/analysis-reports/ar21-055a
MAR-10327841-1.v1 – SUNSHUTTLE,https://www.cisa.gov/news-events/analysis-reports/ar21-105a
MAR-10328877-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072a
MAR-10328923-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072b
MAR-10329107-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072c
MAR-10329297-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072d
MAR-10329298-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072e
MAR-10329301-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072f
MAR-10329494-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-072g
MAR-10329496-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-084a
MAR-10329499-1.v1: China Chopper Webshell ,https://www.cisa.gov/news-events/analysis-reports/ar21-084b
MAR-10330097-1.v1: DearCry Ransomware,https://www.cisa.gov/news-events/analysis-reports/ar21-102b
MAR-10331466-1.v1: China Chopper Webshell,https://www.cisa.gov/news-events/analysis-reports/ar21-102a
MAR-10333209-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202a
MAR-10333243-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202b
MAR-10333243-3.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236b
MAR-10334057-1.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-202c
MAR-10334057-2.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202d
MAR-10334057-3.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236d
MAR-10334587-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202e
MAR-10334587-2.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202f
MAR-10335467-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202g
MAR-10336161-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202h
MAR-10336935-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202i
MAR-10336935-2.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236a
MAR-10337580-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202j
MAR-10337580-2.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202k
MAR-10337802-1.v1: DarkSide Ransomware,https://www.cisa.gov/news-events/analysis-reports/ar21-189a
MAR-10338401-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202l
MAR-10338401-2.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236c
MAR-10338868-1.v1: Pulse Connect Secure,https://www.cisa.gov/news-events/analysis-reports/ar21-202m
MAR-10339606-1.v1: Pulse Secure Connect,https://www.cisa.gov/news-events/analysis-reports/ar21-236e
MAR-10365227-2.v1 ,https://www.cisa.gov/news-events/analysis-reports/ar22-272a
MAR-10375867-1.v1 – HermeticWiper,https://www.cisa.gov/news-events/analysis-reports/ar22-115a
MAR-10376640-1.v1 – IsaacWiper and HermeticWizard,https://www.cisa.gov/news-events/analysis-reports/ar22-115b
MAR-10376640-2.v1 – CaddyWiper,https://www.cisa.gov/news-events/analysis-reports/ar22-115c
MAR-10382254-1.v1 – C2 RAT,https://www.cisa.gov/news-events/analysis-reports/ar22-174a
MAR-10382580-1.v1 – Unidentified RAT,https://www.cisa.gov/news-events/analysis-reports/ar22-174b
MAR-10382580-r2.v1 – RAT,https://www.cisa.gov/news-events/analysis-reports/ar22-197a
MAR-10386789-1.v1 – Log4Shell,https://www.cisa.gov/news-events/analysis-reports/ar22-203a
MAR-10400779-1.v1 – Zimbra 1,https://www.cisa.gov/news-events/analysis-reports/ar22-270a
MAR-10400779-2.v1 – Zimbra 2,https://www.cisa.gov/news-events/analysis-reports/ar22-270b
MAR–10369127–1.v1 – MuddyWater,https://www.cisa.gov/news-events/analysis-reports/ar22-055a
MIFR-00435108-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133i
MIFR-10027371-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133j
MIFR-10050855-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133k
MIFR-10056799-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133l
MIFR-10077745-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133m
MIFR-10079682-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133n
MIFR-10079683-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133o
MIFR-10121050-1.v2,https://www.cisa.gov/news-events/analysis-reports/ar20-133p
Microsoft Office 365 Security Observations,https://www.cisa.gov/news-events/analysis-reports/ar19-133a
Quasar Open-Source Remote Administration Tool,https://www.cisa.gov/news-events/analysis-reports/ar18-352a
Strengthening Security Configurations to Defend Against Attackers Targeting Cloud Services  ,https://www.cisa.gov/news-events/analysis-reports/ar21-013a
